speaker,ISO3N,country,year,matchDF,COWcode,stateabb,ccode,is_ceremonial
Humberto de Alencar Castello Branco,76,Brazil,1966,leader,NA,BRA,140,FALSE
Artur da Costa e Silva,76,Brazil,1967,leader,NA,BRA,140,FALSE
Humberto de Alencar Castello Branco,76,Brazil,1967,leader,NA,BRA,140,FALSE
Artur da Costa e Silva,76,Brazil,1968,leader,NA,BRA,140,FALSE
Artur da Costa e Silva,76,Brazil,1969,leader,NA,BRA,140,FALSE
Emílio Garrastazu Médici,76,Brazil,1969,leader,NA,BRA,140,FALSE
Emílio Garrastazu Médici,76,Brazil,1970,leader,NA,BRA,140,FALSE
Emílio Garrastazu Médici,76,Brazil,1971,leader,NA,BRA,140,FALSE
Emílio Garrastazu Médici,76,Brazil,1972,leader,NA,BRA,140,FALSE
Emílio Garrastazu Médici,76,Brazil,1973,leader,NA,BRA,140,FALSE
Emílio Garrastazu Médici,76,Brazil,1974,leader,NA,BRA,140,FALSE
Ernesto Geisel,76,Brazil,1974,leader,NA,BRA,140,FALSE
Ernesto Geisel,76,Brazil,1975,leader,NA,BRA,140,FALSE
Ernesto Geisel,76,Brazil,1976,leader,NA,BRA,140,FALSE
Ernesto Geisel,76,Brazil,1977,leader,NA,BRA,140,FALSE
Ernesto Geisel,76,Brazil,1978,leader,NA,BRA,140,FALSE
Ernesto Geisel,76,Brazil,1979,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1979,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1980,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1981,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1982,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1983,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1984,leader,NA,BRA,140,FALSE
José Sarney,76,Brazil,1985,leader,NA,BRA,140,FALSE
João Figueiredo,76,Brazil,1985,leader,NA,BRA,140,FALSE
José Sarney,76,Brazil,1986,leader,NA,BRA,140,FALSE
José Sarney,76,Brazil,1987,leader,NA,BRA,140,FALSE
José Sarney,76,Brazil,1988,leader,NA,BRA,140,FALSE
José Sarney,76,Brazil,1989,leader,NA,BRA,140,FALSE
Fernando Collor de Mello,76,Brazil,1990,leader,NA,BRA,140,FALSE
José Sarney,76,Brazil,1990,leader,NA,BRA,140,FALSE
Fernando Collor de Mello,76,Brazil,1991,leader,NA,BRA,140,FALSE
Fernando Collor de Mello,76,Brazil,1992,leader,NA,BRA,140,FALSE
Itamar Franco,76,Brazil,1992,leader,NA,BRA,140,FALSE
Itamar Franco,76,Brazil,1993,leader,NA,BRA,140,FALSE
Itamar Franco,76,Brazil,1994,leader,NA,BRA,140,FALSE
Fernando Henrique Cardoso,76,Brazil,1995,leader,NA,BRA,140,FALSE
Itamar Franco,76,Brazil,1995,leader,NA,BRA,140,FALSE
Fernando Henrique Cardoso,76,Brazil,1996,leader,NA,BRA,140,FALSE
Fernando Henrique Cardoso,76,Brazil,1997,leader,NA,BRA,140,FALSE
Fernando Henrique Cardoso,76,Brazil,1998,leader,NA,BRA,140,FALSE
Jair Bolsonaro,76,Brazil,2022,leader,NA,BRA,140,FALSE
Jair Bolsonaro,76,Brazil,2023,leader,NA,BRA,140,FALSE
Luiz Inácio Lula da Silva,76,Brazil,2023,leader,NA,BRA,140,FALSE
Luiz Inácio Lula da Silva,76,Brazil,2024,leader,NA,BRA,140,FALSE
Luiz Inácio Lula da Silva,76,Brazil,2025,leader,NA,BRA,140,FALSE
Luiz Inácio Lula da Silva,76,Brazil,2026,leader,NA,BRA,140,FALSE
