speaker,ISO3N,country,year,matchDF,COWcode,stateabb,ccode,is_ceremonial
Nicolas Maduro,862,Venezuela,2022,leader,NA,VEN,101,FALSE
Nicolas Maduro,862,Venezuela,2023,leader,NA,VEN,101,FALSE
Nicolas Maduro,862,Venezuela,2024,leader,NA,VEN,101,FALSE
Nicolas Maduro,862,Venezuela,2025,leader,NA,VEN,101,FALSE
Nicolas Maduro,862,Venezuela,2026,leader,NA,VEN,101,FALSE
Delcy Rodriguez,862,Venezuela,2026,leader,NA,VEN,101,FALSE
